Date,Description,Amount,Extended Details,Appears On Your Statement As,Address,Town/City,Postcode,Country,Reference,Category
18/12/2023,EUROSTAR INTERNATIONAL  LONDON,148.00,,EUROSTAR INTERNATIONAL  LONDON,TIMES HOUSE 5 BRAVINGTONS WALK,LONDON,N1 9AW,UNITED KINGDOM OF GB AND NI,'AT233520052000010354669',Travel-Travel Agencies
17/12/2023,ADIDAS                  HERZOGENAURACH,-308.00,,ADIDAS                  HERZOGENAURACH,PEPPER ROAD HAZEL GROVE,STOCKPORT,SK7 5SA,UNITED KINGDOM OF GB AND NI,'AT233510040000010363850',General Purchases-Sporting Goods Stores
17/12/2023,APPLE.COM/BILL          HOLLYHILL,2.99,,APPLE.COM/BILL          HOLLYHILL,"SUBMISSIONS UK
8-10 MATHIAS HARDT
LUXEMBOURG",,L-0717,LUXEMBOURG,'AT233520088000010030205',General Purchases-Computer Supplies
17/12/2023,BURGER KING             STANSTED,9.13,STN Burger King - 18281073,BURGER KING             STANSTED,"UNIT 5
LONDON STANSTED AIRPORT",STANSTED,CM24 1RW,UNITED KINGDOM OF GB AND NI,'AT233520052000010312609',Entertainment-Restaurants
17/12/2023,STANSTED EXPRESS        ESSEX,33.80,,STANSTED EXPRESS        ESSEX,"STANSTED EXPRESS WEBSALES
HERTFORD HOUSE",LONDON,EC1V 9QS,UNITED KINGDOM OF GB AND NI,'AT233510040000010364850',Travel-Rail Services
17/12/2023,W H SMITH LIMITED       STANSTED,2.99,GOODS,W H SMITH LIMITED       STANSTED,BASSINGBOURN ROAD,TAKELEY,CM24 1RW,UNITED KINGDOM OF GB AND NI,'AT233520052000010334788',Business Services-Office Supplies
16/12/2023,ADIDAS                  HERZOGENAURACH,25.20,,ADIDAS                  HERZOGENAURACH,PEPPER ROAD HAZEL GROVE,STOCKPORT,SK7 5SA,UNITED KINGDOM OF GB AND NI,'AT233510040000010363847',General Purchases-Sporting Goods Stores
16/12/2023,AMAZON.CO.UK*QS6GO80M5  AMAZON.CO.UK,3.15,,AMAZON.CO.UK*QS6GO80M5  AMAZON.CO.UK,60 HOLBORN VIADUCT,LONDON,EC1A 2FD,UNITED KINGDOM OF GB AND NI,'AT233510040000010464573',General Purchases-Online Purchases
16/12/2023,AMZNMKTPLACE            AMAZON.CO.UK,8.99,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233510040000010464770',General Purchases-Online Purchases
16/12/2023,DELIVEROO               LONDON,17.28,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233510040000010415060',Entertainment-Restaurants
15/12/2023,DELIVEROO               LONDON,9.28,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233500046000010344701',Entertainment-Restaurants
15/12/2023,DELIVEROO               LONDON,18.89,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233500046000010443161',Entertainment-Restaurants
15/12/2023,RYANAIR LTD AIRLINE     DUBLIN,131.98,"ROUTING:    FROM:     LONDON,ENGLAND UK
TO:       HELSINKI,FINLAND  CARRIER:        FR  CLASS:          K
TICKET NUMBER:  NKMBPW                  PASSENGER NAME: DESABOYAGOMES/RAMON MR
TO:       LONDON,ENGLAND UK CARRIER:        FR  CLASS:          J",RYANAIR LTD AIRLINE     DUBLIN,SUBMISSIONS GBP,UK,AA,UNITED KINGDOM OF GB AND NI,'AT233520052000010362844',Travel-Airline
14/12/2023,DELIVEROO               LONDON,17.28,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233480087000010017600',Entertainment-Restaurants
14/12/2023,PAYPAL *CHENSHADFVQ     13631655439,46.83,Foreign Spend Amount: 57.36 UNITED STATES DOLLAR Commission Amount: 1.36 Currency Exchange Rate: 1.2614,PAYPAL *CHENSHADFVQ     13631655439,"XXXXXXXXXXX92X
13631655439",,518109,CHINA,'AT233500046000010347963',General Purchases-Electronics Stores
14/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,8.45,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233490047000010382419',Travel-Other Travel
13/12/2023,AMZNMKTPLACE            AMAZON.CO.UK,66.81,,AMZNMKTPLACE            AMAZON.CO.UK,"1 PRINCIPAL PLACE
WORSHIP ST",LONDON,EC2A 2BA,UNITED KINGDOM OF GB AND NI,'AT233490047000010400833',General Purchases-Online Purchases
13/12/2023,DELIVEROO               LONDON,14.78,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233470087000010034020',Entertainment-Restaurants
13/12/2023,Google YouTubePremium   SAO PAULO,4.15,"Foreign Spend Amount: 24,90 BRAZILIAN REAL Commission Amount: 0.12 Currency Exchange Rate: 6.1786",Google YouTubePremium   SAO PAULO,"AV BRIG FARIA LIMA
SAO PAULO",,04538133,BRAZIL,'AT233480051000010397589',General Purchases-Online Purchases
12/12/2023,3CPAYMENT*STARBUCKS TOT LONDON,7.55,,3CPAYMENT*STARBUCKS TOT LONDON,1 ASHLEY ROAD,LONDON,N17 9LP,UNITED KINGDOM OF GB AND NI,'AT233470051000010334734',Miscellaneous-Other
12/12/2023,Google Storage          SAO PAULO,1.16,"Foreign Spend Amount: 6,99 BRAZILIAN REAL Commission Amount: 0.03 Currency Exchange Rate: 6.1858",Google Storage          SAO PAULO,"AV BRIG FARIA LIMA
SAO PAULO",,04538133,BRAZIL,'AT233480051000010397578',Business Services-Professional Services
12/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,6.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233470051000010348930',Travel-Other Travel
11/12/2023,DELIVEROO               LONDON,34.09,,DELIVEROO               LONDON,1 COUSIN LANE,LONDON,EC4R 3TE,UNITED KINGDOM OF GB AND NI,'AT233460051000010342629',Entertainment-Restaurants
11/12/2023,PAYPAL *ARCTERYX        6046558566,195.00,,PAYPAL *ARCTERYX        6046558566,"LYON WAY
THETA BUILDING",FRIMLEY,GU16 7ER,UNITED KINGDOM OF GB AND NI,'AT233460051000010333566',General Purchases-Clothing Stores
10/12/2023,ADIDAS                  HERZOGENAURACH,308.00,,ADIDAS                  HERZOGENAURACH,PEPPER ROAD HAZEL GROVE,STOCKPORT,SK7 5SA,UNITED KINGDOM OF GB AND NI,'AT233450051000010350046',General Purchases-Sporting Goods Stores
10/12/2023,J D WETHERSPOON PLC     WATFORD,7.28,,J D WETHERSPOON PLC     WATFORD,WETHERSPOON HOUSE REEDS CRESCENT,WATFORD,WD24 4QL,UNITED KINGDOM OF GB AND NI,'AT233450051000010333861',Entertainment-Bars & Cafés
10/12/2023,SP DARN TOUGH UK        CHESTER,35.00,,SP DARN TOUGH UK        CHESTER,"""OFFICE 4 3/F COACHWORKS ARCADE, NORTHGAT""",CHESTER,CH1,UNITED KINGDOM OF GB AND NI,'AT233440040000010437951',General Purchases-Clothing Stores
10/12/2023,SPORTAS LIMITED         LONDON,-12.00,,SPORTAS LIMITED         LONDON,14 GAINSBOROUGH ROAD GAINSBOROUGH ROAD,LONDON,E15 3AF,UNITED KINGDOM OF GB AND NI,'AT233450051000010303805',Entertainment-Sports Events
10/12/2023,ST. PANCRAS STATION MAI LONDON,16.15,GOODS,ST. PANCRAS STATION MAI LONDON,"UNIT 23 THE CIRCLE
ST PANCRAS STATION
EUSTON ROAD",LONDON,NW1 2QP,UNITED KINGDOM OF GB AND NI,'AT233450051000010295591',General Purchases-Groceries
10/12/2023,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,9.00,,TFL TRAVEL CHARGE       TFL.GOV.UK/CP,"CUSTOMER EXPERIENCE 4TH FLOOR
FAO SIMON FINE WINDSOR HOUSE
42-50 VICTORIA STREET",LONDON,SW1H 0TL,UNITED KINGDOM OF GB AND NI,'AT233450051000010282393',Travel-Other Travel
